Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,67.365372,67.894081,65.843040,67.739113,50.828407,16542733
2016-03-17,67.739113,68.358986,67.429176,67.821159,50.889973,22117098
2016-03-18,67.821159,71.102821,67.821159,69.571381,52.203262,56735678
2016-03-21,69.571381,69.571381,65.451065,65.915962,51.749065,15712675
2016-03-22,66.089165,66.089165,65.305206,65.742767,51.613094,20464105
2016-03-23,65.742767,66.070930,64.885887,65.040855,51.062046,11877544
2016-03-24,65.040855,65.624260,64.812958,65.277863,51.248108,10668309
2016-03-28,65.615143,65.815689,65.095551,65.323441,51.283894,5835604
2016-03-29,65.323441,66.089165,65.250519,65.979774,51.799164,9209933
2016-03-30,66.535835,66.544952,66.007126,66.380867,52.114056,15530799
2016-03-31,66.380867,66.380867,64.995277,65.669838,51.555840,16398851
2016-04-01,65.669838,65.806580,65.040855,65.751884,51.620255,12905176
2016-04-04,65.751884,65.751884,65.177589,65.451065,51.384090,5089615
2016-04-05,65.241402,65.624260,64.812958,64.940582,50.983322,13519056
2016-04-06,64.940582,65.332558,63.810226,64.329826,50.503826,10479319
2016-04-07,64.329826,65.086433,64.329826,65.004387,51.033409,15845709
2016-04-08,65.004387,66.180321,64.949699,65.925079,51.756226,14718533
2016-04-11,65.925079,66.362640,65.633377,66.125626,51.913670,7068901
2016-04-12,66.125626,66.116508,65.341675,65.934196,51.763382,8686065
2016-04-13,65.934196,66.116508,65.177589,65.259628,51.233791,22336945
2016-04-14,65.259628,65.633377,64.995277,65.068199,51.083508,13754882
2016-04-15,64.721802,65.369019,64.266014,65.268745,51.240952,9101711
2016-04-18,65.268745,65.286980,64.503021,64.758263,50.840183,12351403
2016-04-19,64.758263,64.904114,64.366287,64.657990,50.761459,15887619
2016-04-20,64.657990,64.995277,64.512138,64.612411,50.725681,21673565
2016-04-21,64.612411,65.542221,64.621529,65.460175,51.391243,7283406
2016-04-22,65.460175,65.542221,64.493912,64.575951,50.697052,9932959
2016-04-25,64.575951,64.949699,64.566833,64.740036,50.825871,3794410
2016-04-26,64.740036,65.633377,64.539490,64.785614,50.861656,6580732
2016-04-27,64.785614,65.451065,64.721802,65.378136,51.326836,8827037
2016-04-28,65.378136,65.815689,65.168472,65.715416,51.591625,12938481
2016-04-29,65.715416,66.089165,65.177589,66.025352,51.834946,12628451
